clutch_code,egg_number,area,mean_area
1216,1,1.90E-01,
1216,2,2.47E-01,
1216,3,1.85E-01,
1216,4,2.01E-01,
1216,5,1.69E-01,
1216,6,1.79E-01,
1216,7,1.97E-01,
1216,8,1.98E-01,
1216,9,1.70E-01,
1216,10,1.79E-01,1.91E-01
1554,1,1.86E-01,
1554,2,1.97E-01,
1554,3,1.80E-01,
1554,4,1.92E-01,
1554,5,1.83E-01,
1554,6,1.88E-01,
1554,7,1.88E-01,
1554,8,1.87E-01,
1554,9,2.03E-01,
1554,10,1.87E-01,1.89E-01
2046,1,1.97E-01,
2046,2,2.06E-01,
2046,3,2.32E-01,
2046,4,2.17E-01,
2046,5,2.14E-01,
2046,6,2.17E-01,
2046,7,2.42E-01,
2046,8,2.17E-01,
2046,9,2.13E-01,
2046,10,2.04E-01,2.16E-01
2598,1,2.02E-01,
2598,2,2.04E-01,
2598,3,1.79E-01,
2598,4,1.93E-01,
2598,5,1.79E-01,
2598,6,1.93E-01,
2598,7,1.94E-01,
2598,8,2.04E-01,
2598,9,1.98E-01,
2598,10,1.79E-01,1.92E-01
2613,1,2.09E-01,
2613,2,2.22E-01,
2613,3,2.24E-01,
2613,4,2.16E-01,
2613,5,2.05E-01,
2613,6,2.37E-01,
2613,7,2.32E-01,
2613,8,2.52E-01,
2613,9,2.15E-01,
2613,10,2.18E-01,2.23E-01
2841,1,2.17E-01,
2841,2,2.15E-01,
2841,3,2.14E-01,
2841,4,2.16E-01,
2841,5,2.20E-01,
2841,6,1.85E-01,
2841,7,2.20E-01,
2841,8,2.04E-01,
2841,9,1.92E-01,
2841,10,1.79E-01,2.06E-01
3566,1,2.43E-01,
3566,2,2.29E-01,
3566,3,2.45E-01,
3566,4,2.49E-01,
3566,5,2.42E-01,
3566,6,2.37E-01,
3566,7,2.25E-01,
3566,8,2.09E-01,
3566,9,2.37E-01,
3566,10,2.46E-01,2.36E-01
3887,1,1.88E-01,
3887,2,1.91E-01,
3887,3,1.92E-01,
3887,4,2.04E-01,
3887,5,1.96E-01,
3887,6,1.71E-01,
3887,7,1.84E-01,
3887,8,1.88E-01,
3887,9,2.09E-01,
3887,10,1.80E-01,1.90E-01
3797,1,2.09E-01,
3797,2,2.20E-01,
3797,3,2.11E-01,2.14E-01
4206,1,2.03E-01,
4206,2,2.45E-01,
4206,3,2.29E-01,
4206,4,1.63E-01,
4206,5,2.08E-01,
4206,6,2.47E-01,
4206,7,1.93E-01,
4206,8,2.25E-01,
4206,9,2.05E-01,
4206,10,2.04E-01,2.12E-01
4370,1,2.06E-01,
4370,2,1.86E-01,
4370,3,2.05E-01,
4370,4,2.02E-01,
4370,5,1.93E-01,
4370,6,2.09E-01,
4370,7,2.03E-01,
4370,8,1.81E-01,
4370,9,1.98E-01,
4370,10,2.05E-01,1.99E-01
4936,1,1.44E-01,
4936,2,1.60E-01,
4936,3,1.65E-01,
4936,4,1.52E-01,
4936,5,1.60E-01,
4936,6,1.60E-01,
4936,7,2.10E-01,
4936,8,1.73E-01,
4936,9,1.55E-01,
4936,10,1.64E-01,1.64E-01
4994,1,2.04E-01,
4994,2,1.98E-01,
4994,3,2.10E-01,
